subset,model,actual_persona,predicted_z_euclidean,distance_z_euclidean,margin_z_euclidean,correct_z_euclidean,predicted_cosine,distance_cosine,margin_cosine,correct_cosine,predicted_mahalanobis,distance_mahalanobis,margin_mahalanobis,correct_mahalanobis
all,Claude-Sonnet-4.6,INTP,INTP,0.22667771151176458,0.3879687788374761,True,INTP,0.035332874650115476,0.2493788879573524,True,INTP,0.5197847005423276,0.43175344493903467,True
all,Claude-Sonnet-4.6,ESTP,ESTP,0.32763725794833654,0.22556929016832183,True,ESTP,0.031447766124942045,0.060925201548978514,True,ESTP,0.7268885058239577,0.201670547091792,True
all,Claude-Sonnet-4.6,ESFP,ESFP,0.27047502425246106,0.2803193583244855,True,ESFP,0.03468210250883996,0.11460097914334677,True,ESFP,0.5248681256478204,0.16351508668783976,True
all,Claude-Sonnet-4.6,ENFP,ENFP,0.2175182564486079,0.4070730732453538,True,ENFP,0.020698824579422626,0.16833899633469473,True,ENFP,0.40359730341742744,0.2702196658894435,True
all,Claude-Sonnet-4.6,ENTP,ENTP,0.34956664205454746,0.2507015054578552,True,ENTP,0.034274609309643767,0.08411991119800155,True,ENTP,0.6362456782587963,0.08669437006896263,True
all,Claude-Sonnet-4.6,ESTJ,ESTJ,0.21336300704940975,0.4194320802847466,True,ESTJ,0.022027162153988478,0.20444891692686917,True,ESTJ,0.4540594023108206,0.2940592758648321,True
all,Claude-Sonnet-4.6,ESFJ,ESFJ,0.19801267291884161,0.3334179117752425,True,ESFJ,0.027391042552331046,0.17942252942437342,True,ESFJ,0.4618479616952486,0.27609630948417735,True
all,Claude-Sonnet-4.6,ENFJ,ENFJ,0.3639735203224891,0.3464634265339772,True,ENFJ,0.10058188082618391,0.1826324619809424,True,ENFJ,0.574930323696739,0.07736303404450695,True
all,Claude-Sonnet-4.6,ENTJ,ENTJ,0.3595962243214993,0.29385848030137596,True,ENTJ,0.06505632841771725,0.17769874508655303,True,ENTJ,0.5616746604205606,0.24281175765392315,True
all,DeepSeek-V3.2,ISTJ,ISTJ,0.35807104317052535,0.28834711111377825,True,ISTJ,0.07292621320076642,0.19911498273957373,True,ISTJ,0.6302746445087447,0.21112668694943848,True
all,DeepSeek-V3.2,ISFJ,ISFJ,0.3584053280679904,0.31900307527715976,True,ISFJ,0.07454657287801825,0.21609114309649557,True,ISFJ,0.6082801829276584,0.19119245920007033,True
all,DeepSeek-V3.2,INFJ,INFJ,0.6473661686041192,0.1769484919190053,True,INFJ,0.2673107696610816,0.12044998671521578,True,INFJ,0.8887272392671316,0.06518748973354227,True
all,DeepSeek-V3.2,INTJ,INTJ,0.48600319414047727,0.3738639730358358,True,INTJ,0.1476914587992847,0.27759812345851465,True,INTJ,0.6341046526732601,0.23114714003431214,True
all,DeepSeek-V3.2,ISTP,ISTP,0.24995068691080616,0.3863831627091948,True,ISTP,0.0516405389850676,0.2671095453389678,True,ISTP,0.447810933644359,0.18978121741645415,True
all,DeepSeek-V3.2,ISFP,ISFP,0.41649917256017693,0.2812006345945888,True,ISFP,0.1120142542527689,0.08889238773660568,True,ISFP,0.8348503196429031,0.18071423963575217,True
all,DeepSeek-V3.2,INFP,INFP,0.5024275528169453,0.17809300376387438,True,INFP,0.10204924601813503,0.12930301378311493,True,INFP,0.6083495699865127,0.2817803222304125,True
all,DeepSeek-V3.2,INTP,INTP,0.48368656214337136,0.1602723402531645,True,INTP,0.15953991477831408,0.14899495752370606,True,INTP,0.7727495999865042,0.007191980524452024,True
all,DeepSeek-V3.2,ESTP,ESTP,0.3745564945820306,0.22450230238106,True,ESTP,0.03683722083101071,0.06237072603604077,True,ESTP,0.6661687409490404,0.22476647016682938,True
